latitude,longitude,speed,rpm,fuel_level,ignition_status,battery_level,satellites_used,timestamp,gps_id,distance_from_last
-6.84915,107.58489,35,,,,12.1,7,2025-07-14T16:24:34.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84964,107.58454,96,,,,12.4,11,2025-07-14T16:24:40.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84942,107.58414,18,,,,12.5,9,2025-07-14T16:24:50.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84964,107.58446,11,,,,12.6,11,2025-07-14T16:24:58.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84952,107.58458,31,,,,13.1,8,2025-07-14T16:25:04.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84942,107.58416,20,,,,12.5,5,2025-07-14T16:25:16.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84956,107.58421,50,,,,13.0,7,2025-07-14T16:25:24.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84993,107.58417,42,,,,12.8,10,2025-07-14T16:25:33.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85029,107.58429,63,,,,12.6,8,2025-07-14T16:25:47.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85049,107.58403,40,,,,13.5,9,2025-07-14T16:25:58.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85001,107.58435,94,,,,13.1,10,2025-07-14T16:26:04.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84970,107.58459,8,,,,13.3,11,2025-07-14T16:26:19.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85013,107.58419,14,,,,13.4,5,2025-07-14T16:26:28.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85056,107.58403,10,,,,12.6,6,2025-07-14T16:26:39.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85062,107.58450,1,,,,13.2,11,2025-07-14T16:26:46.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85036,107.58477,100,,,,12.1,11,2025-07-14T16:26:52.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85021,107.58482,44,,,,13.1,10,2025-07-14T16:27:04.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85046,107.58511,100,,,,12.7,9,2025-07-14T16:27:16.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85021,107.58472,33,,,,12.8,8,2025-07-14T16:27:22.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85056,107.58476,15,,,,12.7,7,2025-07-14T16:27:29.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85050,107.58492,4,,,,12.3,5,2025-07-14T16:27:39.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85010,107.58512,4,,,,12.1,10,2025-07-14T16:27:53.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85014,107.58479,46,,,,12.4,9,2025-07-14T16:27:58.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85016,107.58457,45,,,,12.2,8,2025-07-14T16:28:08.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85061,107.58489,52,,,,12.5,5,2025-07-14T16:28:22.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85067,107.58499,23,,,,13.1,11,2025-07-14T16:28:33.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85044,107.58465,11,,,,12.4,9,2025-07-14T16:28:40.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85067,107.58441,78,,,,13.5,12,2025-07-14T16:28:46.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85087,107.58429,14,,,,13.4,8,2025-07-14T16:28:58.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85089,107.58452,63,,,,12.3,7,2025-07-14T16:29:05.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85059,107.58469,14,,,,12.7,8,2025-07-14T16:29:14.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85027,107.58492,7,,,,12.7,10,2025-07-14T16:29:21.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85043,107.58496,11,,,,12.5,11,2025-07-14T16:29:27.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85085,107.58460,29,,,,12.9,12,2025-07-14T16:29:40.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85130,107.58505,80,,,,13.0,5,2025-07-14T16:29:47.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85136,107.58541,9,,,,13.4,8,2025-07-14T16:30:01.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85179,107.58567,23,,,,13.3,7,2025-07-14T16:30:10.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85154,107.58613,76,,,,12.5,9,2025-07-14T16:30:19.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85196,107.58663,19,,,,12.6,12,2025-07-14T16:30:24.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85188,107.58694,49,,,,12.5,12,2025-07-14T16:30:35.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85158,107.58648,87,,,,12.6,6,2025-07-14T16:30:47.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85148,107.58623,66,,,,13.4,10,2025-07-14T16:30:59.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85112,107.58653,4,,,,12.6,7,2025-07-14T16:31:13.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85147,107.58624,82,,,,12.3,6,2025-07-14T16:31:28.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85194,107.58652,75,,,,13.1,9,2025-07-14T16:31:40.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85227,107.58683,48,,,,13.2,7,2025-07-14T16:31:55.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85178,107.58728,87,,,,12.2,9,2025-07-14T16:32:08.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85152,107.58740,7,,,,13.1,8,2025-07-14T16:32:22.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85201,107.58786,89,,,,12.3,7,2025-07-14T16:32:32.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85236,107.58762,47,,,,13.4,6,2025-07-14T16:32:41.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85202,107.58738,62,,,,13.3,12,2025-07-14T16:32:49.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85208,107.58772,2,,,,13.5,5,2025-07-14T16:32:57.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85176,107.58814,41,,,,13.2,12,2025-07-14T16:33:10.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85166,107.58834,95,,,,13.3,5,2025-07-14T16:33:22.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85199,107.58805,99,,,,12.3,8,2025-07-14T16:33:27.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85220,107.58841,32,,,,12.7,8,2025-07-14T16:33:39.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85188,107.58811,92,,,,12.5,7,2025-07-14T16:33:51.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85230,107.58849,63,,,,12.2,7,2025-07-14T16:34:04.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85216,107.58827,27,,,,12.6,12,2025-07-14T16:34:11.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85170,107.58777,59,,,,12.8,6,2025-07-14T16:34:17.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85129,107.58753,84,,,,12.9,11,2025-07-14T16:34:29.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85084,107.58725,93,,,,12.8,6,2025-07-14T16:34:39.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85065,107.58768,36,,,,13.5,7,2025-07-14T16:34:48.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85071,107.58799,10,,,,12.6,5,2025-07-14T16:34:56.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85090,107.58826,90,,,,13.0,5,2025-07-14T16:35:03.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85054,107.58866,32,,,,12.6,9,2025-07-14T16:35:14.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85073,107.58859,14,,,,12.4,8,2025-07-14T16:35:24.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85079,107.58884,56,,,,12.4,9,2025-07-14T16:35:35.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85107,107.58932,65,,,,13.3,10,2025-07-14T16:35:47.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85067,107.58974,66,,,,12.3,10,2025-07-14T16:36:02.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85023,107.58969,23,,,,12.6,5,2025-07-14T16:36:14.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85069,107.59002,7,,,,12.6,8,2025-07-14T16:36:22.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.85077,107.59017,36,,,,13.2,9,2025-07-14T16:36:34.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.94621,107.60082,31,,,,13.2,7,2025-07-14T16:20:21.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94642,107.60079,82,,,,13.4,5,2025-07-14T16:20:27.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94686,107.60076,38,,,,12.3,6,2025-07-14T16:20:32.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94649,107.60080,72,,,,12.3,7,2025-07-14T16:20:39.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94633,107.60054,52,,,,13.4,10,2025-07-14T16:20:51.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94682,107.60065,96,,,,13.1,7,2025-07-14T16:20:58.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94651,107.60023,46,,,,13.0,6,2025-07-14T16:21:04.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94603,107.60010,72,,,,12.2,8,2025-07-14T16:21:15.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94568,107.60015,23,,,,12.2,8,2025-07-14T16:21:20.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94521,107.60061,37,,,,12.5,10,2025-07-14T16:21:33.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94550,107.60041,78,,,,13.4,9,2025-07-14T16:21:40.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94593,107.60062,97,,,,13.2,9,2025-07-14T16:21:46.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94613,107.60030,38,,,,13.5,12,2025-07-14T16:21:52.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94630,107.60058,33,,,,12.6,6,2025-07-14T16:22:04.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94648,107.60087,12,,,,13.1,6,2025-07-14T16:22:13.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94648,107.60124,52,,,,13.2,5,2025-07-14T16:22:22.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94606,107.60130,49,,,,12.4,9,2025-07-14T16:22:33.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94601,107.60138,76,,,,12.8,6,2025-07-14T16:22:46.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94648,107.60092,65,,,,12.9,8,2025-07-14T16:22:54.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94617,107.60102,47,,,,12.8,9,2025-07-14T16:23:01.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94650,107.60099,87,,,,12.4,9,2025-07-14T16:23:13.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94619,107.60107,65,,,,13.0,10,2025-07-14T16:23:24.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94606,107.60098,94,,,,12.4,6,2025-07-14T16:23:34.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94641,107.60055,39,,,,12.5,10,2025-07-14T16:23:39.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94610,107.60084,22,,,,13.3,10,2025-07-14T16:23:46.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94603,107.60101,0,,,,13.4,6,2025-07-14T16:23:56.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94639,107.60075,62,,,,12.9,11,2025-07-14T16:24:03.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94672,107.60120,86,,,,13.4,10,2025-07-14T16:24:13.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94668,107.60142,7,,,,12.8,5,2025-07-14T16:24:20.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94705,107.60146,86,,,,12.1,7,2025-07-14T16:24:25.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94730,107.60168,82,,,,13.3,9,2025-07-14T16:24:39.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94742,107.60209,92,,,,12.8,9,2025-07-14T16:24:47.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94707,107.60181,78,,,,13.0,9,2025-07-14T16:24:59.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94740,107.60131,44,,,,12.4,11,2025-07-14T16:25:06.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94708,107.60132,23,,,,12.8,7,2025-07-14T16:25:18.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94746,107.60158,19,,,,12.7,10,2025-07-14T16:25:30.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94790,107.60108,46,,,,13.2,8,2025-07-14T16:25:35.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94817,107.60106,65,,,,12.5,7,2025-07-14T16:25:48.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94863,107.60057,79,,,,12.7,11,2025-07-14T16:25:53.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94853,107.60035,7,,,,13.5,9,2025-07-14T16:26:05.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94875,107.60007,56,,,,12.3,8,2025-07-14T16:26:19.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94898,107.60055,51,,,,13.1,10,2025-07-14T16:26:27.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94937,107.60015,12,,,,12.2,7,2025-07-14T16:26:37.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94908,107.60061,18,,,,13.4,5,2025-07-14T16:26:49.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94887,107.60042,46,,,,13.1,11,2025-07-14T16:26:56.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94893,107.60018,42,,,,12.1,7,2025-07-14T16:27:03.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94891,107.60030,52,,,,12.3,10,2025-07-14T16:27:09.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94842,107.60000,84,,,,13.4,11,2025-07-14T16:27:15.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94838,107.60002,62,,,,12.7,7,2025-07-14T16:27:26.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94877,107.59983,62,,,,12.3,5,2025-07-14T16:27:33.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94849,107.60007,23,,,,13.0,12,2025-07-14T16:27:38.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94835,107.60014,28,,,,13.0,5,2025-07-14T16:27:47.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94825,107.59981,39,,,,12.2,6,2025-07-14T16:28:00.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94808,107.59943,25,,,,12.8,9,2025-07-14T16:28:15.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94812,107.59959,24,,,,12.2,6,2025-07-14T16:28:21.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94850,107.59927,100,,,,12.3,9,2025-07-14T16:28:26.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94891,107.59936,44,,,,13.3,12,2025-07-14T16:28:39.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94900,107.59984,91,,,,13.4,10,2025-07-14T16:28:52.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94947,107.59983,43,,,,13.4,7,2025-07-14T16:29:01.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94924,107.59988,49,,,,12.1,7,2025-07-14T16:29:10.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94969,107.59993,27,,,,12.2,7,2025-07-14T16:29:18.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94979,107.60030,42,,,,12.2,11,2025-07-14T16:29:27.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95025,107.60038,18,,,,13.2,8,2025-07-14T16:29:34.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95075,107.60022,56,,,,12.9,12,2025-07-14T16:29:42.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95078,107.60058,79,,,,13.1,7,2025-07-14T16:29:53.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95110,107.60089,3,,,,13.4,7,2025-07-14T16:30:07.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95100,107.60121,67,,,,12.3,6,2025-07-14T16:30:17.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95080,107.60147,31,,,,12.3,12,2025-07-14T16:30:27.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95049,107.60134,32,,,,12.5,12,2025-07-14T16:30:40.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95049,107.60132,95,,,,13.0,12,2025-07-14T16:30:51.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95012,107.60119,64,,,,12.6,8,2025-07-14T16:30:56.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94964,107.60165,63,,,,12.8,10,2025-07-14T16:31:06.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.94998,107.60171,15,,,,12.5,7,2025-07-14T16:31:13.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95017,107.60208,27,,,,12.4,8,2025-07-14T16:31:18.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95016,107.60251,47,,,,13.2,12,2025-07-14T16:31:28.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95047,107.60261,22,,,,13.0,12,2025-07-14T16:31:37.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95080,107.60271,94,,,,12.8,6,2025-07-14T16:31:50.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95058,107.60274,88,,,,12.3,8,2025-07-14T16:32:04.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95042,107.60319,26,,,,12.2,10,2025-07-14T16:32:12.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95053,107.60282,12,,,,12.7,10,2025-07-14T16:32:22.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95065,107.60279,94,,,,13.2,12,2025-07-14T16:32:31.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95113,107.60253,87,,,,12.2,8,2025-07-14T16:32:45.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95101,107.60263,18,,,,13.0,5,2025-07-14T16:32:53.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95137,107.60247,37,,,,13.4,11,2025-07-14T16:33:06.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95164,107.60235,13,,,,12.6,12,2025-07-14T16:33:11.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95139,107.60256,0,,,,12.8,11,2025-07-14T16:33:21.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95163,107.60240,92,,,,12.5,8,2025-07-14T16:33:30.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95179,107.60197,91,,,,12.1,9,2025-07-14T16:33:40.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95180,107.60205,97,,,,13.0,8,2025-07-14T16:33:47.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95204,107.60253,98,,,,13.3,8,2025-07-14T16:33:55.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95222,107.60220,69,,,,12.7,6,2025-07-14T16:34:02.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95254,107.60216,32,,,,13.0,12,2025-07-14T16:34:17.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95249,107.60193,99,,,,12.7,8,2025-07-14T16:34:22.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95257,107.60222,30,,,,13.4,10,2025-07-14T16:34:34.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95233,107.60270,77,,,,12.2,6,2025-07-14T16:34:45.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95212,107.60293,50,,,,12.2,7,2025-07-14T16:34:52.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95176,107.60251,20,,,,12.6,5,2025-07-14T16:35:02.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95159,107.60213,81,,,,13.1,11,2025-07-14T16:35:08.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95131,107.60179,9,,,,13.3,5,2025-07-14T16:35:13.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-6.95116,107.60213,18,,,,13.5,6,2025-07-14T16:35:22.313701Z,76fd86a9-5d37-4669-a89d-3b2d26910000,
-7.00191,107.57478,91,,,,12.8,8,2025-07-14T16:20:21.313701Z,7a6529d3-00e4-4dd7-874f-e0f2a07e3126,
-7.00174,107.57500,0,,,,12.1,8,2025-07-14T16:20:34.313701Z,7a6529d3-00e4-4dd7-874f-e0f2a07e3126,
-7.00195,107.57452,18,,,,13.2,10,2025-07-14T16:20:44.313701Z,7a6529d3-00e4-4dd7-874f-e0f2a07e3126,
-7.00237,107.57488,68,,,,12.9,5,2025-07-14T16:20:49.313701Z,7a6529d3-00e4-4dd7-874f-e0f2a07e3126,
-7.00285,107.57502,87,,,,12.5,5,2025-07-14T16:21:01.313701Z,7a6529d3-00e4-4dd7-874f-e0f2a07e3126,
-7.00283,107.57481,43,,,,13.3,5,2025-07-14T16:21:09.313701Z,7a6529d3-00e4-4dd7-874f-e0f2a07e3126,
-7.00261,107.57440,11,,,,13.3,9,2025-07-14T16:21:22.313701Z,7a6529d3-00e4-4dd7-874f-e0f2a07e3126,
